model,mean_net_return,mean_alpha_vs_spy,mean_turnover,total_net_return,best_split,best_split_net_return,best_split_share_of_total,mean_net_return_ex_best_split,worst_split,worst_split_net_return,best_date,best_date_net_return,best_date_share_of_total,mean_net_return_ex_best_date,worst_date,worst_date_net_return,positive_alpha_rate
equal_weight_sector,0.005688051605770613,-0.0006349243401057561,0.03125000000000001,0.0910088256923298,split_01_2019-01,0.0565270960588246,0.621116640378634,0.0028734774694587663,split_00_2018-12,-0.020398650660334007,2018-12-31,0.0295500200171879,0.324694004041834,0.0040972537116761255,2018-12-14,-0.0675634045339714,0.4375
logistic_regression,0.005368544140275705,-0.0009544318056006749,0.71875,0.08589670624441129,split_01_2019-01,0.0650766728308564,0.7576154625264283,0.001735002784462907,split_00_2018-12,-0.012040464014612211,2018-12-21,0.0462928214050707,0.5389359316450234,0.0026402589892893726,2018-12-14,-0.0779732291205987,0.4375
naive_momentum,0.0039829326169112875,-0.002340043328965094,0.3020833333333333,0.0637269218705806,split_01_2019-01,0.0512283849210741,0.8038735187164842,0.001041544745792208,split_00_2018-12,-0.040674672590189496,2019-03-07,0.0237465757609999,0.37263020186704576,0.0026653564073053793,2018-12-14,-0.0581137149044877,0.625
pennylane_qnn,0.005910055586385649,-0.00041292035949070207,0.5520833333333333,0.09456088938217039,split_01_2019-01,0.0715762847779384,0.7569332865373221,0.0019153837170193331,split_00_2018-12,-0.032340451263872604,2019-01-23,0.0346190491545745,0.36610325242036035,0.0039961226818397266,2018-12-14,-0.0714332339008515,0.4375
random_forest,0.0024881666280755876,-0.003834809317800781,0.6770833333333333,0.0398106660492094,split_01_2019-01,0.0566961458184009,1.424144618638623,-0.001407123314099293,split_00_2018-12,-0.04281374415602211,2019-01-23,0.0310088873332051,0.7789090314358331,0.0005867852477336191,2018-12-14,-0.0722970602537296,0.3125
rbf_svm,0.006702102731830401,0.0003791267859540189,0.6354166666666666,0.10723364370928641,split_01_2019-01,0.0721679644239693,0.672997409466182,0.002922139940443092,split_00_2018-12,-0.001735467675934299,2018-12-21,0.0464594880717374,0.43325477401188056,0.004051610375836601,2018-12-14,-0.0680914215522605,0.5
ridge_linear,0.005368544140275705,-0.0009544318056006749,0.71875,0.08589670624441129,split_01_2019-01,0.0650766728308564,0.7576154625264283,0.001735002784462907,split_00_2018-12,-0.012040464014612211,2018-12-21,0.0462928214050707,0.5389359316450234,0.0026402589892893726,2018-12-14,-0.0779732291205987,0.4375
small_mlp,0.004011894255894843,-0.002311081689981531,0.7604166666666666,0.06419030809431749,split_01_2019-01,0.0700783388447831,1.091727722225824,-0.0004906692292054666,split_00_2018-12,-0.038748528178632696,2018-12-31,0.0294544069366037,0.4588606568662222,0.0023157267438475865,2018-12-14,-0.0753580684532189,0.375
spy_benchmark,0.006322975945876368,0.0,0.0,0.1011676151340219,split_01_2019-01,0.0608107563425472,0.6010891554771564,0.003363071565956225,split_00_2018-12,-0.016552824043060205,2018-12-21,0.0383049320970712,0.37862839848825836,0.004190845535796713,2018-12-14,-0.0705048663770637,0.0
xgboost,0.0019596281461675886,-0.004363347799708763,0.6979166666666666,0.03135405033868142,split_03_2019-03,0.0294044663280884,0.9378203457118324,0.00016246533421608415,split_00_2018-12,-0.022329881924272797,2018-12-21,0.0307112338229429,0.9794981347291684,4.285443438256734e-05,2018-12-14,-0.0681575193449346,0.25
