model,mean_net_return,mean_alpha_vs_spy,mean_turnover,total_net_return,best_split,best_split_net_return,best_split_share_of_total,mean_net_return_ex_best_split,worst_split,worst_split_net_return,best_date,best_date_net_return,best_date_share_of_total,mean_net_return_ex_best_date,worst_date,worst_date_net_return,positive_alpha_rate
equal_weight_sector,0.005688051605770613,-0.0006349243401057561,0.03125000000000001,0.0910088256923298,split_01_2019-01,0.0565270960588246,0.621116640378634,0.0028734774694587663,split_00_2018-12,-0.020398650660334007,2018-12-31,0.0295500200171879,0.324694004041834,0.0040972537116761255,2018-12-14,-0.0675634045339714,0.4375
logistic_regression,0.005936762305001438,-0.00038621364087495006,0.71875,0.09498819688002301,split_01_2019-01,0.0683648104723453,0.7197190042326524,0.0022186155339731406,split_00_2018-12,-0.029999864146433807,2018-12-31,0.0294544069366037,0.310084914800591,0.004368919329561286,2018-12-14,-0.0779732291205987,0.625
naive_momentum,0.0039829326169112875,-0.002340043328965094,0.3020833333333333,0.0637269218705806,split_01_2019-01,0.0512283849210741,0.8038735187164842,0.001041544745792208,split_00_2018-12,-0.040674672590189496,2019-03-07,0.0237465757609999,0.37263020186704576,0.0026653564073053793,2018-12-14,-0.0581137149044877,0.625
pennylane_qnn,0.005765326408407632,-0.0005576495374687439,0.65625,0.09224522253452211,split_01_2019-01,0.0767406305709942,0.8319198378243878,0.0012920493302939924,split_00_2018-12,-0.0223239305914217,2018-12-21,0.0349947944615617,0.37936701218824803,0.0038166952048640256,2018-12-14,-0.0723005264813944,0.4375
random_forest,0.004361109275001062,-0.0019618666708752937,0.71875,0.06977774840001699,split_03_2019-03,0.0614696426969253,0.8809347407505389,0.0006923421419243089,split_00_2018-12,-0.0216606667049884,2018-12-21,0.0451291884721891,0.6467561580444764,0.00164323732852186,2018-12-14,-0.0782895769951835,0.25
rbf_svm,0.00617929759245121,-0.00014367835342518105,0.6770833333333333,0.09886876147921936,split_01_2019-01,0.0741674430247147,0.750160535188898,0.002058443204542056,split_00_2018-12,-0.0149567015997027,2018-12-31,0.0406867082123313,0.41152238182818746,0.003878803551125871,2018-12-14,-0.0827340977412504,0.5
ridge_linear,0.0066173379329500055,0.00029436198707361244,0.6770833333333333,0.10587740692720009,split_01_2019-01,0.0790873538528557,0.7469710124959438,0.0022325044228620325,split_00_2018-12,-0.029999864146433807,2018-12-31,0.0294544069366037,0.2781935050303618,0.00509486666603976,2018-12-14,-0.0779732291205987,0.6875
small_mlp,0.0047077324718807385,-0.0016152434739956378,0.5520833333333333,0.07532371955009182,split_01_2019-01,0.060782023485748696,0.8069439991651953,0.0012118080053619246,split_00_2018-12,-0.031946413470101506,2018-12-31,0.0294544069366037,0.39103760558473105,0.0030579541742325393,2018-12-14,-0.0779732291205987,0.4375
spy_benchmark,0.006322975945876368,0.0,0.0,0.1011676151340219,split_01_2019-01,0.0608107563425472,0.6010891554771564,0.003363071565956225,split_00_2018-12,-0.016552824043060205,2018-12-21,0.0383049320970712,0.37862839848825836,0.004190845535796713,2018-12-14,-0.0705048663770637,0.0
xgboost,0.006751029143830735,0.0004280531979543561,0.78125,0.10801646630129176,split_03_2019-03,0.05703252582691087,0.5279984411620103,0.004248661706198409,split_00_2018-12,-0.0026811535020693916,2018-12-21,0.0417389763920067,0.38641308886724385,0.004418499327285671,2018-12-14,-0.0669096153346523,0.5625
